"","x","y","r","g","b","hex","lon","lat","color_name"
"1",140,204,219,192,175,"#DBC0AF",5.05966587112172,8.3125,"antiquewhite3"
"2",140,205,220,186,203,"#DCBACB",5.05966587112172,8.171875,"thistle"
"3",140,206,222,182,219,"#DEB6DB",5.05966587112172,8.03125,"thistle"
"4",140,207,224,181,226,"#E0B5E2",5.05966587112172,7.890625,"thistle"
"5",140,208,223,180,226,"#DFB4E2",5.05966587112172,7.75,"thistle"
"6",140,209,222,181,225,"#DEB5E1",5.05966587112172,7.609375,"thistle"
"7",140,210,222,181,223,"#DEB5DF",5.05966587112172,7.46875,"thistle"
"8",140,211,222,181,223,"#DEB5DF",5.05966587112172,7.328125,"thistle"
"9",140,212,222,181,223,"#DEB5DF",5.05966587112172,7.1875,"thistle"
"10",140,213,222,181,223,"#DEB5DF",5.05966587112172,7.046875,"thistle"
"11",140,214,222,181,223,"#DEB5DF",5.05966587112172,6.90625,"thistle"
"12",140,215,222,181,223,"#DEB5DF",5.05966587112172,6.765625,"thistle"
"13",140,216,222,181,223,"#DEB5DF",5.05966587112172,6.625,"thistle"
"14",140,217,222,181,223,"#DEB5DF",5.05966587112172,6.484375,"thistle"
"15",140,218,222,181,223,"#DEB5DF",5.05966587112172,6.34375,"thistle"
"16",140,219,222,181,223,"#DEB5DF",5.05966587112172,6.203125,"thistle"
"17",140,220,222,181,223,"#DEB5DF",5.05966587112172,6.0625,"thistle"
"18",140,221,222,181,223,"#DEB5DF",5.05966587112172,5.921875,"thistle"
"19",140,222,222,181,223,"#DEB5DF",5.05966587112172,5.78125,"thistle"
"20",140,223,222,181,223,"#DEB5DF",5.05966587112172,5.640625,"thistle"
"21",140,224,222,181,223,"#DEB5DF",5.05966587112172,5.5,"thistle"
"22",140,225,222,181,223,"#DEB5DF",5.05966587112172,5.359375,"thistle"
"23",140,226,222,181,223,"#DEB5DF",5.05966587112172,5.21875,"thistle"
"24",140,227,222,181,223,"#DEB5DF",5.05966587112172,5.078125,"thistle"
"25",140,228,222,181,223,"#DEB5DF",5.05966587112172,4.9375,"thistle"
"26",140,229,222,181,223,"#DEB5DF",5.05966587112172,4.796875,"thistle"
"27",140,230,222,181,223,"#DEB5DF",5.05966587112172,4.65625,"thistle"
"28",140,231,222,181,223,"#DEB5DF",5.05966587112172,4.515625,"thistle"
"29",140,232,222,181,223,"#DEB5DF",5.05966587112172,4.375,"thistle"
"30",140,233,222,181,223,"#DEB5DF",5.05966587112172,4.234375,"thistle"
"31",140,234,222,181,223,"#DEB5DF",5.05966587112172,4.09375,"thistle"
"32",140,235,222,181,223,"#DEB5DF",5.05966587112172,3.953125,"thistle"
"33",140,236,222,181,223,"#DEB5DF",5.05966587112172,3.8125,"thistle"
"34",140,237,222,181,223,"#DEB5DF",5.05966587112172,3.671875,"thistle"
"35",140,238,222,181,223,"#DEB5DF",5.05966587112172,3.53125,"thistle"
"36",140,239,222,181,223,"#DEB5DF",5.05966587112172,3.390625,"thistle"
"37",140,240,222,181,223,"#DEB5DF",5.05966587112172,3.25,"thistle"
"38",140,241,222,181,221,"#DEB5DD",5.05966587112172,3.109375,"thistle"
"39",140,242,222,181,223,"#DEB5DF",5.05966587112172,2.96875,"thistle"
"40",140,243,223,180,225,"#DFB4E1",5.05966587112172,2.828125,"thistle"
"41",140,244,222,181,225,"#DEB5E1",5.05966587112172,2.6875,"thistle"
"42",140,245,219,183,219,"#DBB7DB",5.05966587112172,2.546875,"thistle"
"43",140,246,220,182,219,"#DCB6DB",5.05966587112172,2.40625,"thistle"
"44",140,247,227,179,221,"#E3B3DD",5.05966587112172,2.265625,"thistle"
"45",140,248,213,187,216,"#D5BBD8",5.05966587112172,2.125,"thistle"
"46",140,249,179,204,201,"#B3CCC9",5.05966587112172,1.984375,"lightcyan3"
"47",140,250,41,111,75,"#296F4B",5.05966587112172,1.84375,"seagreen"
"48",140,251,19,129,58,"#13813A",5.05966587112172,1.703125,"springgreen4"
"49",140,252,2,135,46,"#02872E",5.05966587112172,1.5625,"springgreen4"
"50",140,253,5,144,53,"#059035",5.05966587112172,1.421875,"springgreen4"
"51",140,254,0,136,44,"#00882C",5.05966587112172,1.28125,"springgreen4"
"52",140,255,0,143,51,"#008F33",5.05966587112172,1.140625,"springgreen4"
"53",140,256,0,138,46,"#008A2E",5.05966587112172,1,"springgreen4"
"54",140,257,0,141,49,"#008D31",5.05966587112172,0.859375,"springgreen4"
"55",140,258,1,140,51,"#018C33",5.05966587112172,0.71875,"springgreen4"
