"","longitude","latitude","long_sc","lat_sc","elevation","nearest_water_type","nearest_water_lat","nearest_water_lon","nearest_water_lat_sc","nearest_water_lon_sc","geo_region_5000","geo_region_4_5000","geo_region_3200","cat_5000","cat_4_5000","cat_3200","cat_math"
"1",18.15,-31.5,-0.860148926837278,-2.09806178945009,-1.73465608681878,"river",-31.5755184875059,18.221826171875,-2.10557876356316,-0.870104162825628,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"2",18.65,-31.5,-0.798421615266996,-2.09806178945009,-1.63838853039573,"river",-31.6596981750059,18.505859375,-2.11371154983131,-0.834555593010397,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"3",19.15,-31.5,-0.736694303696715,-2.09806178945009,-0.284079043444261,"river",-31.7601864562559,18.599853515625,-2.12341994550408,-0.822791625863358,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"4",19.65,-31.5,-0.674966992126433,-2.09806178945009,0.245392516882487,"river",-32.0286434875059,18.79970703125,-2.14935617456575,-0.797778681690457,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"5",20.15,-31.5,-0.613239680556151,-2.09806178945009,0.464182417843953,"river",-32.2213680968809,18.905029296875,-2.16797572642213,-0.784596927334011,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"6",20.65,-31.5,-0.551512368985869,-2.09806178945009,0.536383085161236,"river",-32.7489559875059,22.017822265625,-2.2189471624009,-0.395011002334671,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"7",21.15,-31.5,-0.489785057415588,-2.09806178945009,0.571389469315071,"river",-32.7489559875059,22.017822265625,-2.2189471624009,-0.395011002334671,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"8",21.65,-31.5,-0.428057745845306,-2.09806178945009,0.779239875228464,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"9",22.15,-31.5,-0.366330434275025,-2.09806178945009,0.980526584113012,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"10",22.65,-31.5,-0.304603122704743,-2.09806178945009,1.10742472667066,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"11",23.15,-31.5,-0.242875811134461,-2.09806178945009,0.945520199959178,"river",-32.2324520812559,23.052001953125,-2.16904657473006,-0.26557680795842,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"12",23.65,-31.5,-0.181148499564179,-2.09806178945009,1.14024321181488,"river",-32.2324520812559,23.052001953125,-2.16904657473006,-0.26557680795842,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"13",24.15,-31.5,-0.119421187993897,-2.09806178945009,1.51218604344937,"river",-32.2324520812559,23.052001953125,-2.16904657473006,-0.26557680795842,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"14",24.65,-31.5,-0.0576938764236152,-2.09806178945009,1.36997260782442,"lake",-30.6211145467999,25.5082746305352,-2.01337168257054,0.0418414086355729,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"15",25.15,-31.5,0.00403343514666653,-2.09806178945009,0.855816340564977,"lake",-30.7209039858975,25.6089471620142,-2.02301256155337,0.0544412190604964,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"16",25.65,-31.5,0.0657607467169483,-2.09806178945009,0.783615673247693,"lake",-30.7223758065332,25.635439933456,-2.02315475740858,0.0577569586460009,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"17",26.15,-31.5,0.12748805828723,-2.09806178945009,1.87975307706464,"river",-31.9711239562559,26.46591796875,-2.14379908510874,0.161696589973798,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"18",26.65,-31.5,0.189215369857511,-2.09806178945009,1.49249495236284,"river",-31.9707333312559,26.592041015625,-2.14376134596132,0.177481694982006,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"19",27.15,-31.5,0.250942681427793,-2.09806178945009,1.17962539398795,"river",-32.0468075500059,26.964599609375,-2.15111104492059,0.224109782946633,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"20",27.65,-31.5,0.312669992998075,-2.09806178945009,0.879883229670738,"river",-32.1709286437559,27.5,-2.16310265901204,0.291118562046519,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"21",28.15,-31.5,0.374397304568356,-2.09806178945008,0.763924582161161,"river",-32.2765438781309,27.69521484375,-2.17330638099464,0.315550946801775,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"22",28.65,-31.5,0.436124616138638,-2.09806178945009,-0.264387952357729,"river",-32.4850399718809,28.1099609375,-2.19344965092795,0.367459069891096,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"23",29.15,-31.5,0.49785192770892,-2.09806178945009,-0.520372136482644,"river",-32.6277645812559,28.33154296875,-2.20723859191508,0.395191476599284,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"24",29.65,-31.5,0.559579239279201,-2.09806178945009,-1.57275156010729,"river",-32.6365536437559,28.343359375,-2.20808772273194,0.396670375326341,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"25",18.15,-31,-0.860148926837278,-2.04972047972622,-1.18111763738627,"river",-31.5398739562559,18.266845703125,-2.10213506636145,-0.864469680898582,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"26",18.65,-31,-0.798421615266996,-2.04972047972622,-1.05640739383824,"river",-31.5792782531309,18.37685546875,-2.10594200285704,-0.85070125597272,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"27",19.15,-31,-0.736694303696715,-2.04972047972622,-0.485365752328809,"river",-31.6691220031309,18.515771484375,-2.11462200676272,-0.833315029202161,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"28",19.65,-31,-0.674966992126433,-2.04972047972622,0.0353542119594795,"river",-31.7601864562559,18.599853515625,-2.12341994550408,-0.822791625863358,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"29",20.15,-31,-0.613239680556151,-2.04972047972622,0.365726962411293,"river",-32.0286434875059,18.79970703125,-2.14935617456575,-0.797778681690457,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"30",20.65,-31,-0.551512368985869,-2.04972047972622,0.321968982219,"river",-32.0286434875059,18.79970703125,-2.14935617456575,-0.797778681690457,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"31",21.15,-31,-0.489785057415588,-2.04972047972622,0.890822724718811,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"32",21.65,-31,-0.428057745845306,-2.04972047972622,1.04616355440145,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"33",22.15,-31,-0.366330434275024,-2.04972047972622,0.934580704911104,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"34",22.65,-31,-0.304603122704742,-2.04972047972622,0.954271795997636,"river",-32.1671688781309,22.638671875,-2.16273941971816,-0.317307707646568,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"35",23.15,-31,-0.242875811134461,-2.04972047972622,0.726730298997712,"river",-32.2324520812559,23.052001953125,-2.16904657473006,-0.26557680795842,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"36",23.65,-31,-0.181148499564179,-2.04972047972622,0.952083896988022,"river",-32.2324520812559,23.052001953125,-2.16904657473006,-0.26557680795842,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"37",24.15,-31,-0.119421187993897,-2.04972047972622,1.20369228309371,"lake",-30.2304933500961,24.8848114092703,-1.9756329025994,-0.0361889962766692,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"38",24.65,-31,-0.0576938764236152,-2.04972047972622,1.16431010092064,"lake",-30.2578692139194,24.9469222400951,-1.9782777455062,-0.0284154290262037,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"39",25.15,-31,0.00403343514666653,-2.04972047972622,1.52531343750706,"lake",-30.6211145467999,25.5082746305352,-2.01337168257054,0.0418414086355729,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"40",25.65,-31,0.0657607467169483,-2.04972047972622,1.49687075038207,"lake",-30.7223758065332,25.635439933456,-2.02315475740858,0.0577569586460009,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"41",26.15,-31,0.12748805828723,-2.04972047972622,1.51218604344937,"lake",-30.6272961934696,25.8965409142218,-2.0139689051624,0.0904354143387123,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"42",26.65,-31,0.189215369857511,-2.04972047972622,1.71784855035315,"lake",-30.545462966127,25.9718981307676,-2.00606281561306,0.0998668513819301,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"43",27.15,-31,0.250942681427793,-2.04972047972622,1.83599509687234,"river",-30.3676083312559,27.49267578125,-1.98887988496595,0.290201889281815,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"44",27.65,-31,0.312669992998075,-2.04972047972622,2.2626354037472,"river",-30.3905575500059,27.56591796875,-1.99109705987664,0.299368616928858,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"45",28.15,-31,0.374397304568357,-2.04972047972622,1.6062657008628,"river",-30.3541805968809,27.72373046875,-1.98758260177353,0.319119859432355,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"46",28.65,-31,0.436124616138638,-2.04972047972622,1.00021767519954,"river",-30.0527645812559,28.52919921875,-1.95846213214864,0.419929418942774,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"47",29.15,-31,0.49785192770892,-2.04972047972622,-0.22281787117505,"river",-30.0346005187559,28.623779296875,-1.95670726179379,0.431766719910987,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"48",29.65,-31,0.559579239279202,-2.04972047972622,-0.281891144434646,"river",-29.9772274718809,28.7015625,-1.95116432451706,0.441501784672149,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"49",30.15,-31,0.621306550849484,-2.04972047972622,-1.20299662748242,"river",-29.9772274718809,28.7015625,-1.95116432451706,0.441501784672149,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"50",17.65,-30.5,-0.92187623840756,-2.00137917000236,-1.4086591343862,"river",-31.5398739562559,18.266845703125,-2.10213506636145,-0.864469680898582,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"51",18.15,-30.5,-0.860148926837278,-2.00137917000236,0.538570984170851,"river",-31.5398739562559,18.266845703125,-2.10213506636145,-0.864469680898582,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"52",18.65,-30.5,-0.798421615266997,-2.00137917000236,0.19069504164212,"river",-31.5432919250059,18.293212890625,-2.10246528390134,-0.861169658945646,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"53",19.15,-30.5,-0.736694303696714,-2.00137917000236,-0.154993001876996,"river",-31.6512997375059,18.493798828125,-2.11290015816187,-0.836065047496274,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"54",19.65,-30.5,-0.674966992126433,-2.00137917000236,0.203822435699808,"river",-31.6691220031309,18.515771484375,-2.11462200676272,-0.833315029202161,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"55",20.15,-30.5,-0.613239680556151,-2.00137917000236,0.230077223815184,"river",-28.7412411437559,20.55126953125,-1.83175294469933,-0.578559445587302,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"56",20.65,-30.5,-0.551512368985869,-2.00137917000236,0.297902093113239,"river",-28.7640927062559,20.6673828125,-1.83396068482317,-0.564027126690853,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"57",21.15,-30.5,-0.489785057415588,-2.00137917000236,0.197258738670964,"river",-29.3126766906309,22.271240234375,-1.88696059997555,-0.363294124675902,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"58",21.65,-30.5,-0.428057745845306,-2.00137917000236,0.254144112920945,"river",-29.3258602843809,22.288232421875,-1.88823429620084,-0.361167443861785,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"59",22.15,-30.5,-0.366330434275024,-2.00137917000236,0.365726962411293,"river",-29.6422665343809,22.73046875,-1.91880300560782,-0.30581874232894,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"60",22.65,-30.5,-0.304603122704743,-2.00137917000236,0.676408621776575,"river",-29.6764462218809,22.80908203125,-1.92210518100672,-0.29597978798778,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"61",23.15,-30.5,-0.242875811134461,-2.00137917000236,0.58014106535353,"river",-29.6679989562559,22.854150390625,-1.92128907194385,-0.290339194908964,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"62",23.65,-30.5,-0.181148499564179,-2.00137917000236,0.731106097016941,"river",-29.6574032531309,22.86904296875,-1.92026539757019,-0.288475293620731,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"63",24.15,-30.5,-0.119421187993897,-2.00137917000236,1.12711581775719,"lake",-30.0747747268435,24.7647108454006,-1.96058858111882,-0.0512203490642974,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"64",24.65,-30.5,-0.0576938764236152,-2.00137917000236,1.20588018210332,"lake",-30.2304933500961,24.8848114092703,-1.9756329025994,-0.0361889962766692,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"65",25.15,-30.5,0.00403343514666653,-2.00137917000236,0.750797188103473,"lake",-30.2655226812248,24.978124837571,-1.97901716395326,-0.024510224625497,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"66",25.65,-30.5,0.0657607467169483,-2.00137917000236,1.08554573657452,"lake",-30.5592980801022,25.6542792375925,-2.00739945665198,0.0601148179068062,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"67",26.15,-30.5,0.12748805828723,-2.00137917000236,0.934580704911104,"lake",-30.545462966127,25.9718981307676,-2.00606281561306,0.0998668513819301,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"68",26.65,-30.5,0.189215369857512,-2.00137917000236,1.35465731475712,"lake",-30.545462966127,25.9718981307676,-2.00606281561306,0.0998668513819301,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"69",27.15,-30.5,0.250942681427793,-2.00137917000236,1.31308723357444,"river",-30.3109677062559,27.36572265625,-1.98340770859063,0.274312894693606,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"70",27.65,-30.5,0.312669992998075,-2.00137917000236,1.83599509687234,"river",-30.3905575500059,27.56591796875,-1.99109705987664,0.299368616928858,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"71",28.15,-30.5,0.374397304568356,-2.00137917000236,3.84886218571783,"river",-30.2344052062559,27.8626953125,-1.97601083569709,0.33651219735468,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"72",28.65,-30.5,0.436124616138638,-2.00137917000236,1.11836422171874,"river",-30.0527645812559,28.52919921875,-1.95846213214864,0.419929418942774,"grasslands","grasslands","tropical_rainforest",2,2,3,7
"73",29.15,-30.5,0.49785192770892,-2.00137917000236,1.46842806325708,"river",-29.9772274718809,28.7015625,-1.95116432451706,0.441501784672149,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"74",29.65,-30.5,0.559579239279201,-2.00137917000236,1.1424311108245,"river",-29.9772274718809,28.7015625,-1.95116432451706,0.441501784672149,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"75",30.15,-30.5,0.621306550849484,-2.00137917000236,-0.57944540974224,"river",-29.8374325500059,28.78671875,-1.93765842713555,0.452159633349776,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"76",17.65,-30,-0.92187623840756,-1.9530378602785,-0.927321352270971,"river",-31.5398739562559,18.266845703125,-2.10213506636145,-0.864469680898582,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
"77",18.15,-30,-0.860148926837278,-1.9530378602785,-0.292830639482719,"river",-31.5398739562559,18.266845703125,-2.10213506636145,-0.864469680898582,"tropical_rainforest","tropical_rainforest","tropical_rainforest",3,3,3,9
